,Word,Definition
2129,paries parietis ,['wall']
2130,parilis ,"['similar,', 'like,', 'equal']"
2131,pario ,"['to', 'bear,', 'bring', 'forth,', 'produce', '/', 'create,', 'make,', 'get']"
2132,pariter ,"['equally,', 'in', 'like', 'manner,', 'as', 'well']"
2133,paro ,"['to', 'prepare,', 'get', 'ready', '/', 'set,', 'put', '/', 'furnish,', 'supply', '/', 'buy']"
2134,pars partis ,"['part,', 'share', '/', 'direction']"
2135,partim ,"['partly', '/', 'some']"
2136,parum  minus  minime ,"['(adv)', 'little,', 'too', 'little,', 'not', 'enough']"
2137,parvus  minor  minimus ,"['small,', 'little']"
2138,pasco ,"['to', 'graze,', 'forage,', 'browse']"
2139,passer ,['sparrow']
2140,passim ,"['adv', 'far', 'and', 'wide,', 'everywhere,', 'scattered', 'about']"
2141,patefacio ,"['to', 'disclose,', 'expose,', 'open,', 'make', 'open']"
2142,pateo ,"['to', 'be', 'revealed,', 'to', 'stand', 'open,', 'to', 'be', 'clear,', 'plain']"
2143,pater  patris ,['father']
2144,paternus ,"['of', 'a', 'father,', 'paternal,', 'native']"
2145,patiens ,"['patient', '/', '(+', 'gen)', 'capable', 'of', 'enduring']"
2146,patientia ,"['patience,', 'suffering,', 'endurance']"
2147,patior ,"['to', 'suffer,', 'endure,', 'permit']"
2148,patria ,"['fatherland,', ""one's"", 'native', 'country,', 'homeland']"
2149,patrocinor ,"['to', 'protect,', 'defend,', 'support,', 'patronize']"
2150,patronus ,"['patron,', 'protector']"
2151,patruus ,"['paternal', 'uncle']"
2152,pauci ,"['few,', 'a', 'few,', 'some']"
2153,paulatim ,"['gradually,', 'little', 'by', 'little']"
2154,pauper ,"['beggar,', 'person', 'without', 'means']"
2155,pauper ,"['poor,', 'with', 'few', 'means,', 'poverty-stricken']"
2156,paupertas ,"['beggardry,', 'poverty,', 'humble', 'circumstances']"
2157,pax pacis ,['peace']
2158,peccatus ,['sin']
2159,pecco ,"['to', 'do', 'wrong,', 'err,', 'sin,', 'go', 'astray']"
2160,pecto ,"['to', 'comb,', 'card,', 'thrash', '(to', 'card', 'wool)']"
2161,pectus pectoris ,"['heart,', 'breast']"
2162,pecunia ,['money']
2163,pecus ,"['a', 'single', 'head', 'of', 'cattle,', 'especially', 'a', 'sheep']"
2164,peior ,"['worse', '(see', 'malus)']"
2165,pello  pepulli  pulsum ,"['to', 'hit,', 'beat', '/', 'exile,', 'drive', 'away,', 'banish']"
2166,pendeo ,"['to', 'hang,', 'depend,', 'be', 'suspended', '/', 'be', 'uncertain,', 'undecided']"
2167,pendo ,"['to', 'weigh,', 'value,', 'consider,', 'judge,', 'esteem']"
2168,penitus ,"['inward,', 'inner,', 'interior']"
2169,penitus ,"['(adv)', 'inside,', 'widely,', 'through', 'and', 'through,', 'completely']"
2170,"penus, us ","['provender,', 'supplies,', 'victuals']"
2171,pepulo ,"['?', 'Herimann,', 'cap', '3']"
2172,per ,"['(+', 'acc)', '(cause)', 'because', 'of,', 'on', 'account', 'of']"
2173,per ,"['(+', 'acc)', '(means', '/', 'instrument)', 'through,', 'with,', 'by,', 'by', 'means', 'of']"
2174,per ,"['(+', 'acc)', '(of', 'time)', 'throughout,', 'during,', 'in', 'the', 'course', 'of']"
2175,per ,"['(+', 'acc)', '(of', 'space)', 'through,', 'along,', 'over', '/', 'in', 'the', 'presence', 'of']"
2176,peracto ,"['to', 'carry', 'through,', 'complete,', 'accomplish']"
2177,peragro ,"['to', 'wander', 'through,', 'travel', 'through']"
2178,percipio  percepi  perceptum ,"['to', 'gain,', 'learn,', 'perceive,', 'understand']"
2179,percontor percunctor ,"['inquire,', 'interrogate,', 'investigate']"
2180,perculsus ,"['a', 'shock']"
2181,percutio (percussum) ,"['to', 'strike', 'hard,', 'pierce,', 'transfix', '/', 'shock']"
2182,perdignus ,"['very', 'worthy']"
2183,perdo ,"['to', 'destroy,', 'ruin,', 'waste,', 'scatter,', 'squander']"
2184,perduco ,"['to', 'lead', 'through,', 'conduct,', 'carry', 'through']"
2185,peregrinus ,"['wanderer,', 'foreigner,', 'stranger', '/', 'pilgrim,', 'crusader']"
2186,pereo ,"['to', 'pass', 'away,', 'be', 'destroyed,', 'perish']"
2187,perfectus ,"['complete,', 'finished,', 'done', '/', 'perfect,', 'without', 'flaw']"
2188,perfero ,"['to', 'bear,', 'suffer,', 'endure']"
2189,perficio perfeci perfectum: ,"['to', 'do', 'thoroughly,', 'accomplish,', 'bring', 'about']"
2190,perfruor ,"['to', 'execute', 'completely,', 'enjoy', 'to', 'the', 'full']"
2191,perfusus ,"['steeped,', 'soaked,', 'drenched']"
2192,pergo ,"['to', 'continue,', 'proceed,', 'go', 'on', 'with']"
2193,periclitatus ,"['put', 'in', 'peril,', 'endangered']"
2194,periclitor ,"['to', 'test', 'make', 'a', 'trial,', 'put', 'in', 'peril,', 'endanger']"
2195,periculosus ,"['hazardous,', 'dangerous']"
2196,periculum ,"['danger,', 'risk']"
2197,perimo peremi peremptum ,"['to', 'destroy']"
2198,peritus ,"['skilled,', 'expert']"
2199,periurium ,"['perjury,', 'oath-breaking,', 'forswearing', 'an', 'oath']"
2200,perlustro ,"['to', 'pass', 'through,', 'survey,', 'look,', 'examine']"
2201,permitto permissi permissum ,"['to', 'allow,', 'permit,', 'let']"
2202,permoveo ,"['to', 'excite,', 'agitate,', 'stir', 'up,', 'move']"
2203,perniciosus ,"['pernicious,', 'destructive']"
2204,perperam ,"['wrongly,', 'falsely']"
2205,perpetro ,"['to', 'complete,', 'accomplish,', 'perform']"
2206,perpetuus ,"['perpetual,', 'lasting,', 'continuous,', 'uninterrupted']"
2207,perscitus ,"['very', 'clever,', 'exceedingly', 'sharp']"
2208,perscribo ,"['to', 'write', 'out,', 'write', 'down,', 'place', 'on', 'record']"
2209,perseco ,"['to', 'cut', 'through,', 'dissect,', 'cut', 'away']"
2210,persequor persequi persecutus ,"['to', 'follow,', 'pursue,', 'take', 'revenge']"
2211,perseverantia ,"['perseverance,', 'persistence']"
2212,persevero ,"['to', 'persist,', 'persevere,', 'continue']"
2213,persisto ,"['to', 'persist,', 'persevere']"
2214,persolvo ,"['to', 'unloose,', 'explain,', 'expound', '/', 'pay', 'off', 'a', 'debt,', 'pay']"
2215,personam gero ,"['to', 'act', 'a', 'part']"
2216,perspicuus ,"['transparent,', 'bright,', 'clear,', 'evident']"
2217,persuadeo persuasi persuasum ,"['(+', 'dat)', 'to', 'persuade']"
2218,perterreo ,"['to', 'terrify']"
2219,pertimesco ,"['to', 'become', 'very', 'much', 'afraid']"
2220,pertinacia ,"['firmness,', 'obstinacy,', 'stubbornness']"
2221,pertinaciter ,"['stubbornly,', 'obstinately']"
2222,pertinax ,"['persistent,', 'firm,', 'mean,', 'stubborn,', 'obstinate']"
2223,pertineo ,"['to', 'pertain', 'to,', 'relate', 'to,', 'concern']"
2224,pertingo ,"['to', 'stretch', 'out,', 'extend']"
2225,pertorqueo ,"['to', 'twist,', 'distort']"
2226,pertraho ,"['to', 'drag,', 'forcibly', 'conduct,', 'entice,', 'allure']"
2227,perturbo ,"['to', 'disturb,', 'trouble,', 'perturb,', 'disrupt']"
2228,perturpis ,"['very', 'disgraceful']"
2229,peruro perussi perustum ,"['to', 'burn', 'up,', 'consume', '/', 'inflame,', 'gall,', 'chafe']"
2230,pervalidus ,"['very', 'strong']"
2231,pervenio ,"['(+', 'acc)', 'to', 'reach,', 'attain,', 'reach,', 'be', 'passed', 'to']"
2232,perverto perverti perversum ,"['to', 'turn', 'upside', 'down,', 'overturn,', 'overthrow']"
2233,pervideo  pervidi pervisum ,"['to', 'look', 'over,', 'survey,', 'inspect,', 'discern']"
2234,pes pedis ,['foot']
2235,pessimus ,"['worst', '(see', 'malus)']"
2236,pessum do: ,"['to', 'destroy,', 'ruin,', 'wreck']"
2237,pessum ire: ,"['to', 'sink,', 'be', 'ruined,', 'destroyed,', 'be', 'put', 'to', 'an', 'end']"
2238,pessum ,"['to', 'the', 'ground,', 'to', 'the', 'bottom,', 'downward']"
2239,pestifer ,"['pestilential,', 'injurious,', 'damaging,', 'plaguey,']"
2240,pestifere ,"['destructively,', 'injuriously']"
2241,pestis pestis ,"['plague,', 'epidemic,', 'pestilence', '/', 'destruction,', 'curse']"
2242,petitus ,"['inclining', 'toward']"
2243,peto ,"['to', 'make', 'for,', 'go', 'to,', 'seek,', 'strive', 'after']"
2244,peto ,"['to', 'ask', 'for,', 'beg,', 'request,', 'demand', '/', 'to', 'sue', 'for']"
2245,Pevela ,"['Pevle,', 'near', 'Cisoing']"
2246,pharetra ,"['a', 'quiver']"
2247,phasma phasmatis ,"['ghost,', 'spirit,', 'specter']"
2248,phitonicum ,"['Herimann', 'p', '275']"
2249,pia pium ,"['honest,', 'godly,', 'holy,', 'pious,', 'dutiful,', 'patriotic']"
2250,pica ,"['jay,', 'magpie']"
2251,picea ,"['the', 'spruce', 'tree']"
2252,pictor ,['painter']
2253,pictoratus ,"['painted', '/', 'of', 'cloth,', 'embroidered']"
2254,piger pigra pigrum ,"['lazy,', 'slow,', 'dull']"
2255,pignus ,"['pawn,', 'pledge,', 'token,', '(in', 'pl)', 'persons', 'in', 'pledges', 'of']"
2256,"piper, piperis ",['pepper']
2257,pipio ,"['to', 'chirp,', 'tweet,', 'pipe']"
2258,pirum ,['pear']
2259,pirus ,"['pear', 'tree']"
2260,piscator ,['fisherman']
2261,piscis piscis ,['fish']
2262,pius: ,"['dutiful,', 'godly,', 'holy,', 'upright,', 'kind,', 'honest,', 'affectionate']"
2263,placeo ,"['(+', 'dat)', 'to', 'please,', 'be', 'agreeable', 'to']"
2264,placet ,"['it', 'is', 'agreed,', 'it', 'is', 'resolved,', 'it', 'seems', 'good']"
2265,placide ,"['quitely,', 'gently']"
2266,placidus ,"['quiet,', 'still,', 'gentle']"
2267,placitum ,"['judgment,', 'case', '/', 'plea,', 'litigation', '/', 'defense']"
2268,placitum ,"['accord,', 'agreement,', 'pact', '/', 'assembly', 'for', 'judgment']"
2269,placo ,"['to', 'placate,', 'appease']"
2270,plaga ,"['district,', 'zone,', 'region']"
2271,plagiarius ,"['kid-napper,', 'plagiarist']"
2272,plane ,"['plainly,', 'clearly']"
2273,plango planxi plactum ,"['to', 'strike,', 'beat', '/', 'bewail,', 'mourn']"
2274,platea ,"['street,', 'courtyard']"
2275,plaustrum ,"['wagon,', 'cart,', 'charles', 'Wain']"
2276,plebs plebis ,"['the', 'common', 'people,', 'the', 'masses,', 'the', 'crowd']"
2277,plecto ,"['to', 'punish']"
2278,plector ,"['to', 'be', 'punished']"
2279,plene ,"['(adv)', 'completely,', 'wholly,', 'fully']"
2280,plenus ,"['full,', 'complete,', 'full,', 'satisfied,', 'rich,', 'mature,', 'plump']"
2281,plerumque ,"['for', 'the', 'most', 'part,', 'generally,', 'commonly,', 'mostly']"
2282,plerusque ,"['very', 'many,', 'a', 'great', 'number,', 'a', 'large', 'part,', 'the', 'greater', 'part']"
2283,plico ,"['to', 'fold']"
2284,plorabilis ,['deplorable']
2285,plorator ,"['a', 'lamenter']"
2286,ploratus ,"['weeping,', 'lamenting']"
2287,ploro ,"['to', 'lament,', 'weep,', 'weep', 'over']"
2288,pluit  pluvit ,"['it', 'is', 'raining,', 'a', 'shower', 'is', 'falling']"
2289,pluma ,"['feather', '/', 'featherbed', '/', 'pen']"
2290,plumbeus ,"['leaden,', 'made', 'of', 'lead', '/', 'dull,', 'stupid,', 'heavy,', 'oppressive,', 'bad']"
2291,plumbum album ,['tin']
2292,plumbum ,"['lead,', 'a', 'bullet,', 'lead', 'pipe']"
2293,pluo ,"['to', 'rain,', 'shower,', 'sprinkle']"
2294,plura ,"['more', 'numerous,', 'several,', 'many']"
2295,plures ,"['more', 'numerous,', 'several,', 'many']"
2296,plurimi ,"['at', 'the', 'highest', 'price,', 'of', 'the', 'highest', 'worth']"
2297,plurimus ,"['most,', 'very', 'many']"
2298,pluris ,"['(gen)', 'at', 'a', 'higher', 'price,', 'of', 'a', 'great', 'value']"
2299,plus ,['more']
2300,plusculus ,"['somewhat', 'more,', 'rather', 'more']"
2301,pluvia ,"['rain,', 'shower']"
2302,pluvialis ,"['pertaining', 'to', 'rain,', 'of', 'rain']"
2303,pocius potius ,"['rather,', 'preferably']"
2304,poema poematis ,"['poem,', 'verse,', 'rhyme']"
2305,"poena pain, punishment, penalty / poena dare ","['to', 'pay', 'the', 'penalty']"
2306,poeta ,"['(masc)', 'poet']"
2307,polenta ,"['pearl', 'barley,', 'barley', 'groats']"
2308,pollen  (also pollis ): ,"['fine', 'flour,', 'fine', 'meal']"
2309,polleo ,"['to', 'be', 'strong,', 'powerful,', 'able']"
2310,pollex ,"['thumb,', 'big', 'toe']"
2311,polliceor ,"['to', 'promise,', 'offer']"
2312,pollicitus ,"['promised,', 'a', 'promise']"
2313,pomum ,"['fruit,', 'apple']"
2314,pono posui positum ,"['to', 'lay,', 'place,', 'put,', 'set', '/', '(milit)', 'post,', 'station']"
2315,pons pontis ,['bridge']
2316,poposco see posco ,"['Herimann,', 'cap', '28,', '69']"
2317,populus ,"['people,', 'the', 'people,', 'nation,', 'crowd,', 'multitude,', 'host']"
2318,porro ,"['forward,', 'further,', 'next,', 'in', 'turn,', '(of', 'time)', 'long', 'ago']"
2319,porta ,"['gate,', 'entrance']"
2320,posco ,"['to', 'call', 'upon,', 'ask', 'earnestly,', 'request']"
2321,positus ,"['position,', 'place,', 'arrangment']"
2322,possessio ,"['possession,', 'property']"
2323,possum posse potum ,"['to', 'be', 'able,', 'avail,', 'have', 'influence']"
2324,post ,"['(+', 'acc)', 'after,', 'behind']"
2325,postea ,['afterwards']
2326,posteri ,['posterity']
2327,"posterus, postremo ","['subsequent,', 'following,', 'next,', 'future']"
2328,posthabeo ,"[':', 'to', 'put', 'after,', 'consider', 'of', 'less', 'account']"
2329,postpono ,"['to', 'put', 'after,', 'consider', 'secondary']"
2330,postquam ,"['(conj)', 'after']"
2331,postulo ,"['to', 'ask']"
2332,potens ,"['able,', 'mighty,', 'powerful,', 'strong']"
2333,potestas ,"['power,', 'ability,', 'authority', '/', 'opportunity']"
2334,potior ,"['(+', 'gen', 'or', 'dat)', 'to', 'possess,', 'hold,', 'get', 'possession', 'of']"
2335,potissimum ,"['(adv)', 'chiefly,', 'most', 'of', 'all']"
2336,potissimus ,"['best', 'of', 'all,', 'chief,', 'principal']"
2337,potius ,"['rather,', 'preferably']"
2338,prae dulcis / pre dulcis ,"['exceedingly', 'sweet']"
2339,prae se ferre / pre se ferre ,"['to', 'show,', 'exhibit,', 'on', 'account', 'of']"
2340,prae quam / pre quam ,"['in', 'comparison', 'with']"
2341,prae pre ,"['(prep', 'with', 'abl)', 'before,']"
2342,prae pre ,"['(adv)', 'before,', 'in', 'front']"
2343,praebeo prebeo ,"['to', 'offer,', 'hold', 'out,', 'supply,', 'provide,', 'allow']"
2344,praebeo prebeo ,"['(+', 'refl)', 'to', 'show', 'oneself,', 'present', 'oneself']"
2345,praecedo precedo ,"['to', 'precede,', 'go', 'before', '/', 'surpass,', 'excel']"
2346,praecelsus precelsus ,"['exceedingly', 'high']"
2347,praecepio precepio ,"['precept,', 'preconception']"
2348,praeceptum preceptum ,['precept']
2349,praecido ,"['to', 'cut', 'short,', 'lop,', 'mutilate']"
2350,"praecipio, precipio ","['to', 'instruct,', 'advise,', 'warn,', 'anticipate']"
2351,praecipuus precipuus: ,"['excellent,', 'distinguished,', 'extraordinary']"
2352,praeclarus preclarus ,"['excellent,', 'famous,', 'beautiful,', 'striking']"
2353,praeconor preconor ,"['to', 'be', 'a', 'public', 'crier,', 'to', 'herald,', 'proclaim']"
2354,praecox precox ,"['ripe', 'beforehand,', 'premature']"
2355,praeda preda ,"['plunder,', 'booty,', 'spoils', 'of', 'war,', 'loot,', 'gain,', 'prey']"
2356,praedico predico ,"['to', 'warn,', 'admonish,', 'instruct,', 'foretell']"
2357,praeeo preeo ,"['to', 'go', 'before,', 'precede', '/', 'to', 'say', 'in', 'advance', '/', 'to', 'order']"
2358,praefero prefero ,"['to', 'carry', 'in', 'front,', 'display,', 'prefer']"
2359,praefero prefero ,"['anticipate,', 'carry', 'by,', 'ride', 'by']"
2360,praeficio preficio / prefeci prefectum ,"['to', 'put', 'in', 'charge', 'of']"
2361,praefinio prefinio ,"['to', 'appoint', 'ahead', 'of', 'time']"
2362,praefoco prefoco ,"['to', 'choke,', 'suffocate']"
2363,praegravo pregravo ,"['to', 'press', 'heavily', 'upon,', 'weigh', 'down,', 'oppress']"
2364,praemitto ,"['to', 'send', 'forward,', 'dispatch,', 'send', 'in', 'advance']"
2365,praemium premium ,"['reward,', 'prize']"
2366,praemo premo ,"['to', 'press', 'down,', 'strike', 'down']"
2367,"praenuntio, prenuntio ","['to', 'foretell,', 'announce', 'before', 'hand']"
2368,praenuntius prenuncius ,"['foretelling,', 'harbinger,', 'omen,', 'token']"
2369,praepono prepono ,"['to', 'set', 'over,', 'prefer']"
2370,praepositus prepositus ,"['(monastic)', 'prior']"
2371,"praeproperus, preproperus: ","['over-hasty,', 'precipitate']"
2372,praesentia presentia ,"['presence,', 'presence', 'of', 'mind,', 'effect,', 'power']"
2373,praesentia presencia ,"['power,', 'effect']"
2374,praesidium presidium ,"['guard,', 'garrison,', 'detachment', '/', 'protection']"
2375,praestans prestans ,"['excellent,', 'distinguished,', 'imminent']"
2376,praestantia prestantia: ,"['superiority,', 'excellence']"
2377,praesto ,"['to', 'stand', 'before,', 'be', 'outstanding,', 'excell,', 'surpass,', 'show']"
2378,praesto presto ,"['to', 'answer', 'for,', 'be', 'responsible', 'for']"
2379,praesto presto ,"['to', 'do,', 'perform,', 'display,', 'fulfill,', 'offer,', 'present']"
2380,praesul presul ,"['dancer', '/', 'presider,', 'protector,', 'director']"
2381,praesum presum ,"['to', 'be', 'at', 'the', 'head', 'of,', 'be', 'in', 'charge', 'of']"
2382,praesumo presumo ,"['to', 'anticipate,', 'take', 'for', 'granted']"
2383,praeter ,"['adj,', 'except;', 'prep', '+', 'acc,', 'besides,', 'beyond,', 'more', 'than']"
2384,praeterea preterea ,"['besides,', 'further,', 'hereafter']"
2385,praetereo pretereo ,"['to', 'pass', 'over,', 'pass', 'by,', 'omit']"
2386,praeteritus preteritus ,['past']
2387,praetermissio pretermissio ,"['neglect,', 'passing', 'over,', 'omission']"
2388,praetorgredior pretergredior ,"['to', 'pass', 'beyond,', 'go', 'beyond']"
2389,"praevenio, prevenio ","['to', 'come', 'before,', 'anticipate']"
2390,praevenio ,"['get', 'the', 'start', 'of']"
2391,pravitas ,"['crookedness,', 'depravity,', 'deformity,', 'perversity']"
2392,preastolatio prestolatio ,"['the', 'waiting', 'for,', 'expectation']"
2393,precipio ,"['to', 'anticipate,', 'instruct,', 'advise,', 'warn']"
2394,precipue ,"['chiefly,', 'especially,', 'particularly']"
2395,precor ,"['to', 'pray,', 'beg,', 'entreat,', 'invoke']"
2396,prehendo ,"['to', 'seize,', 'snatch,', 'grasp,', 'detain,', 'arrest']"
2397,premo pressi pressum ,"['to', 'squeeze,', 'press', 'down,', 'strike', 'down']"
2398,prenda ,"['booty,', 'loot,', 'stolen', 'goods']"
2399,pretereo ,"['to', 'go', 'by,', 'pass', 'by,', 'escape']"
2400,pretium ,"['price,', 'value,', 'reward']"
2401,prevenire ,"['to', 'come', 'to,', 'go', 'before', 'hand,', 'attend']"
2402,prex precis ,"['request,', 'entreaty,', 'prayer']"
2403,primitus ,"['first,', 'for', 'the', 'first', 'time']"
2404,primo ,"['first,', 'at', 'first,', 'at', 'the', 'beginning,', 'at', 'the', 'start']"
2405,primoris ,"['first,', 'foremost', '/', 'most', 'distinguished,', 'first']"
2406,primum quam primum ,"['as', 'soon', 'as', 'possible']"
2407,primum ,"['at', 'first,', 'for', 'the', 'first', 'time,', 'in', 'the', 'first', 'place']"
2408,princeps ,"['chief,', 'prince']"
2409,principatus ,"['rule,', 'dominion,', 'pre-eminence,', 'first', 'place']"
2410,principium ,['beginning']
2411,prior prius ,"['former,', 'prior']"
2412,"priores, um ","['forefathers,', 'ancestors']"
2413,priscus ,"['ancient,', 'antique,', 'former,', 'old', 'days,', 'venerable']"
2414,pristinus ,"['former,', 'venerable,', 'ancient']"
2415,prius ,"['before,', 'formerly']"
2416,priusquam ,"['(conj)', 'before']"
2417,privatus ,"['private,', 'unofficial,', 'a', 'private', 'person']"
2418,privigna ,['step-daughter']
2419,privo ,"['to', 'deprive']"
2420,privus ,"['(with', 'gen)', 'deprived', 'of']"
2421,pro eo ,"['because', 'of', 'the', 'fact,', 'because,', 'for', 'this', 'reason']"
2422,pro ,"['(+', 'abl)', 'in', 'return', 'for,', 'instead', 'of', '/', 'for,', 'as']"
2423,pro ,"['(+', 'abl)', 'in', 'front', 'of,', 'before', '/', 'on', 'behalf', 'of,', 'for']"
2424,probitas ,"['probity,', 'uprightness,', 'honesty']"
2425,probo ,"['to', 'show,', 'prove,', 'demonstrate,', 'approve,', 'find', 'good,', 'judge']"
2426,procedo ,"['to', 'go', 'out,', 'come', 'out', '/', 'result,', 'prosper', '/', 'turn', 'out', 'well']"
2427,procedo ,"['to', 'go', 'ahead,', 'proceed,', 'advance,', 'continue']"
2428,procella ,"['storm,', 'tempest,', 'gale;', '(milit)', 'charge,', 'onset,', 'wave']"
2429,procella ,"['storm,', 'tempest,', 'gale']"
2430,procer ,"['chief', 'noble,', 'prince']"
2431,procinctu ,"['prepared', 'or', 'ready', 'for', 'battle']"
2432,procul ,"['far,', 'at,', 'to,', 'from', 'a', 'distance']"
2433,procurator ,"['manager,', 'bailiff,', 'agent']"
2434,prodigiosus ,"['unnatural,', 'wonderful,', 'miraculous,', 'amazing']"
2435,proditor ,"['traitor,', 'betrayer']"
2436,proelium ,['battle']
2437,profecto ,"['truly,', 'really,', 'indeed']"
2438,profero ,"['to', 'carry', 'out,', 'bring', 'forth']"
2439,proficio ,"['to', 'make', 'progress,', 'advance']"
2440,proficio ,"['advance,', 'assist,', 'help,', 'aid,', 'be', 'of', 'use']"
2441,proficiscor ,"['to', 'depart,', 'set', 'out,', 'to', 'start', 'forward,', 'to', 'arise']"
2442,proficuus proficiscor ,"['to', 'start', 'forward,', 'set', 'out,', 'depart,', 'arise']"
2443,profiteor: ,"['to', 'make', 'a', 'public', 'statement', '/', 'to', 'declare', 'oneself']"
2444,profiteor: ,"['to', 'acknowledge,', 'confess', '/', 'offer,', 'promise']"
2445,profor profari profatus ,"['to', 'speak', 'out']"
